direction,M,valid_overlap_queries,candidate_recall,candidate_generation_misses,candidate_miss_rate
r1_r3,10,1833,0.9367157665030006,116,0.058
r1_r3,20,1833,0.9596290234588107,74,0.037
r1_r3,50,1833,0.9743589743589743,47,0.0235
r1_r3,100,1833,0.9852700490998363,27,0.0135
r1_r3,200,1833,0.993998908892526,11,0.0055
r1_r3,500,1833,0.9983633387888707,3,0.0015
r1_r3,1000,1833,0.9994544462629569,1,0.0005
