label,policy,robots,incoming_queries_per_sec,single_thread_capacity_qps,capacity_fraction,ringkey_bytes_per_keyframe,full_sc_bytes_per_keyframe,ringkey_bytes_per_sec,full_sc_bytes_per_sec
compute-capacity projection only,fixed Stage-8A M1000; adaptive unavailable,2,4,57.45954950134868,0.06961419006437063,80,4800,320,19200
compute-capacity projection only,fixed Stage-8A M1000; adaptive unavailable,4,8,57.45954950134868,0.13922838012874125,80,4800,640,38400
