direction,descriptor_build_s_robot1,descriptor_build_s_robot2,descriptor_mean_ms,descriptor_bytes_per_frame,database_descriptor_bytes,estimated_robot_descriptor_communication_bytes,valid_overlap_queries,no_overlap_queries,mrr,median_first_positive_rank,worst_first_positive_rank,retrieval_mean_ms,retrieval_median_ms,retrieval_p95_ms,retrieval_total_s
robot1_to_robot2,3.319789624598343,3.784887291083578,1.679592651461447,4800.0,10704000.0,4800.0,1907,93,0.9952035932157542,1.0,221,42.47697717137635,42.073632968822494,45.55628827365581,84.9539543427527
robot2_to_robot1,,,,,,,2043,187,0.9992783362827417,1.0,39,37.033789327854684,36.778913490707055,39.43926345673389,82.58535020111594
