condition,median_m,p90_m,p95_m,points_robot1,points_robot3
SINGLE_LOOP_ALIGNMENT,11.960026889455465,65.59452039210768,85.59465474768903,287454,682883
ROBUST_PGO,2.5786522591802203,38.55951634379542,55.67587416035458,305421,707835
