scope,ATE_RMSE_m,condition
joint,68.43217732445207,SINGLE_LOOP_ALIGNMENT
robot1,104.04271921626756,SINGLE_LOOP_ALIGNMENT
robot3,41.76413560994304,SINGLE_LOOP_ALIGNMENT
joint,46.2014639071848,NON_ROBUST_PGO
robot1,61.28054037554364,NON_ROBUST_PGO
robot3,36.86606397654906,NON_ROBUST_PGO
joint,75.29757744028014,ROBUST_PGO
robot1,72.87556754535301,ROBUST_PGO
robot3,76.42929128999937,ROBUST_PGO
