policy,nodes,odometry_factors,loop_factors,initial_graph_error,final_graph_error,relative_reduction,runtime_s,termination_status,finite_poses,anchor_error
TOP3_SANITIZED,6180,6178,139,10228.250597887713,2933.0443903953837,0.7132408555768959,9.31998872756958,NORMAL_RETURN,True,2.185399201037446e-11
RANK1_SANITIZED,6180,6178,120,8850.971554812955,1743.7462306588777,0.8029881556098021,7.435600757598877,NORMAL_RETURN,True,2.414845020675949e-11
