group,count,median_deg,p90_deg,p95_deg
accepted_true_loops,1232,0.9682735428846598,2.6259236143237454,3.2409827864088783
accepted_false_loops,1,7.8553853787716434,7.8553853787716434,7.8553853787716434
rejected_candidates,767,1.4587280828709481,7.852766179522428,8.316840305707956
