condition,pairs,success_rate,mean_latency_ms,median_latency_ms,p95_latency_ms,median_translation_error_m,p95_translation_error_m,median_rotation_error_deg,p95_rotation_error_deg,median_fitness,median_rmse
identity,2000,0.216,173.0442642775597,137.0076009770855,458.64170198328793,3.6767430787256097,45.21053579497447,168.02351646466272,179.74413404947694,0.3814735158391661,0.554638730678535
SC_yaw,2000,0.6165,25.1101966266287,21.5966430259868,45.762776414630906,0.6331843641707685,44.66858778331126,4.61198200889562,16.50150602380242,0.867116432806688,0.39687664093693487
