query_keyframe_id,retrieval_s,rank1_pipeline_s,top3_early_stop_pipeline_s,gicp_calls,rank1_quality,selected_quality
0,0.037120837019756436,1.2335166579578072,1.2336259800940752,1,0.6259682976466974,0.6259682976466974
20,0.04760477505624294,0.5082450420595706,0.5083083719946444,1,0.6492324084827673,0.6492324084827673
40,0.037666498916223645,0.6471923249773681,0.6472510879393667,1,0.6194797219107497,0.6194797219107497
60,0.03478727792389691,0.4559573989827186,0.7615942489355803,2,0.6090661363053794,0.6151406363881405
80,0.023431431036442518,0.3231891149189323,0.3232745318673551,1,0.6168898773251005,0.6168898773251005
100,0.047075625974684954,0.5342940879054368,1.614827506011352,3,0.589725157606326,0.5914044395324926
121,0.04668382415547967,0.6649383590556681,1.3183379690162838,3,0.4260295054303473,0.4219895874759505
141,0.028874685987830162,0.3169195530936122,0.3170095381792635,1,0.619580930129477,0.619580930129477
161,0.02567848819307983,0.3307502691168338,0.33079493907280266,1,0.6107710940094605,0.6107710940094605
181,0.023359633050858974,0.3799685381818563,1.1691240360960364,2,0.5960137565143857,0.628640491806958
201,0.03528195898979902,0.5601907060481608,1.8823644840158522,3,0.6054467102712258,0.5636641873102467
222,0.04395751398988068,0.6026123899500817,1.5980009189806879,3,0.5507742206617948,0.5534652897752478
242,0.026247814996168017,0.4139457978308201,1.1265209568664432,3,0.5557559384247973,0.5739214685342965
262,0.05043747206218541,0.38008347898721695,0.3801534080412239,1,0.6596481005154544,0.6596481005154544
282,0.040315208956599236,0.42102544684894383,0.4210734209045768,1,0.7480294949865768,0.7480294949865768
302,0.034363645827397704,0.41657701693475246,0.4166266459506005,1,0.6780027396650065,0.6780027396650065
323,0.025281468871980906,0.4276117959525436,1.2467832278925925,3,0.5898595066928476,0.59856412487237
343,0.03229012992233038,0.38001413689926267,0.3800575421191752,1,0.6488875593129428,0.6488875593129428
363,0.02431584009900689,0.41833690693601966,0.4183840788900852,1,0.6521099447932447,0.6521099447932447
383,0.026485141832381487,0.4323170578572899,0.43238560296595097,1,0.6652649978305057,0.6652649978305057
403,0.03732499107718468,0.4031665581278503,1.3494625419843942,3,0.6014572750316907,0.3207444413796314
424,0.035273890011012554,0.36765941604971886,0.3677113938611001,1,0.6238453341138392,0.6238453341138392
444,0.02942720102146268,0.3739968501031399,0.37404460716061294,1,0.6816294062100412,0.6816294062100412
464,0.023794539971277118,0.31844181497581303,0.3184881489723921,1,0.6169202125887705,0.6169202125887705
484,0.022579695098102093,0.3249421729706228,0.9937430620193481,3,0.5690299593753606,0.5913859048175468
504,0.02488195989280939,0.3675876089837402,0.36764137586578727,1,0.6703388332406492,0.6703388332406492
524,0.024330585030838847,0.3947930389549583,0.39485814911313355,1,0.6556854575599551,0.6556854575599551
545,0.02393645909614861,0.3631171630695462,0.36318275006487966,1,0.6174543408952906,0.6174543408952906
565,0.040021566208451986,0.3776254781987518,0.3776787861716002,1,0.6623038112465216,0.6623038112465216
585,0.03470380790531635,0.36944751790724695,0.36951034888625145,1,0.6905815109945286,0.6905815109945286
605,0.026054181158542633,0.4025837411172688,0.4026339640840888,1,0.6784200518699888,0.6784200518699888
625,0.026187723968178034,0.3904150740709156,0.39046832802705467,1,0.7125060553368494,0.7125060553368494
646,0.033172271912917495,0.4165521957911551,0.41660091490484774,1,0.7066129091752024,0.7066129091752024
666,0.028550541028380394,0.33263613702729344,0.332683261949569,1,0.6233996540144923,0.6233996540144923
686,0.02306216792203486,0.3130790500435978,0.6952842578757554,2,0.6041484878435428,0.6150843812939039
706,0.03901067702099681,0.5100025569554418,0.5100472010672092,1,0.6249460705286217,0.6249460705286217
726,0.035704512847587466,0.34257208998315036,0.34261740394867957,1,0.6151801990321331,0.6151801990321331
747,0.02062495402060449,0.3743990908842534,0.37444576108828187,1,0.6274953061141217,0.6274953061141217
767,0.02302125608548522,0.340742623899132,0.9371422720141709,3,0.5514816938880751,0.5968991031530788
787,0.020891414023935795,0.32761076488532126,0.32765213679522276,1,0.6465314215363663,0.6465314215363663
807,0.018853711895644665,0.3577955379150808,1.0289058170747012,3,0.6030441120955897,0.5758638239715108
827,0.019103002035990357,0.414183832006529,0.41423083399422467,1,0.6653141363611097,0.6653141363611097
848,0.022811206057667732,0.30558586004190147,1.0824659671634436,3,0.5620655837498486,0.5836823658768886
868,0.0453862810973078,0.3714427750092,0.3714994341135025,1,0.6355336533987281,0.6355336533987281
888,0.03513418301008642,0.3334104230161756,0.33345651905983686,1,0.6866604471443074,0.6866604471443074
908,0.019097826909273863,0.30974683491513133,0.30979118100367486,1,0.7104750855456928,0.7104750855456928
928,0.01770156598649919,0.40198142011649907,0.4020261780824512,1,0.6673713455132839,0.6673713455132839
949,0.02038193098269403,0.46381340990774333,0.46385864494368434,1,0.6491433066553656,0.6491433066553656
969,0.02251291088759899,0.29900335893034935,0.29904912086203694,1,0.628728779447819,0.628728779447819
989,0.021048540947958827,0.3322289229836315,1.1692901269998401,3,0.5850420177843058,0.5698809169702418
1009,0.02045416203327477,0.4172489601187408,1.0058915310073644,3,0.5746708703351283,0.5792354666601237
1029,0.04518027207814157,0.3882296299561858,1.1931630859617144,3,0.5917500013819974,0.580080201094906
1049,0.036535875871777534,0.3337569390423596,0.3337999789509922,1,0.6545905292240487,0.6545905292240487
1070,0.022350636078044772,0.31033463403582573,0.7191337069962174,2,0.6086684364577699,0.616932314039033
1090,0.021929646842181683,0.30675109988078475,0.30679682991467416,1,0.6108607274034069,0.6108607274034069
1110,0.020932842046022415,0.3227914290037006,0.993495733011514,3,0.5814703389770457,0.5912478921412584
1130,0.028604946099221706,0.3443271480500698,0.3443693520966917,1,0.6094645037823772,0.6094645037823772
1150,0.020142822992056608,0.33312968513928354,0.3331958269700408,1,0.6229809447266342,0.6229809447266342
1171,0.04489019117318094,0.37010153918527067,1.0054367571137846,3,0.593116671836273,0.603942754649928
1191,0.03434373205527663,0.3740708089899272,0.3741157799959183,1,0.686396249265,0.686396249265
1211,0.028266072971746325,0.30970595101825893,0.3097532200627029,1,0.6423290325959684,0.6423290325959684
1231,0.020715811057016253,0.3154254471883178,0.3154732321854681,1,0.6327158886978788,0.6327158886978788
1251,0.018643562914803624,0.28846576693467796,0.28851246810518205,1,0.6227400392544663,0.6227400392544663
1272,0.018221664940938354,0.32625455292873085,0.32632107310928404,1,0.6571593429380876,0.6571593429380876
1292,0.044162587961182,0.3307652750518173,0.3308168868534267,1,0.6546746321851624,0.6546746321851624
1312,0.036686218809336424,0.3353760379832238,0.33542315498925745,1,0.6535564485870095,0.6535564485870095
1332,0.018570163985714316,0.35674058296717703,0.35678500100038946,1,0.6642772657500022,0.6642772657500022
1352,0.01744987303391099,0.5372544119600207,1.023462485987693,2,0.5518611469387867,0.612201115879363
1373,0.03018016112037003,0.39026223006658256,0.39030305994674563,1,0.7035806606797284,0.7035806606797284
1393,0.022201868006959558,0.3233004368375987,0.3233514369931072,1,0.6720077908517538,0.6720077908517538
1413,0.0190909868106246,0.3233734539244324,0.323422395857051,1,0.618592250796953,0.618592250796953
1433,0.01830729003995657,0.3507770129945129,0.3508234480395913,1,0.6462120999994297,0.6462120999994297
1453,0.01831495389342308,0.3018610968720168,0.30192706687375903,1,0.6484476099079935,0.6484476099079935
