heading_bin_deg,total_valid_queries,SC_R@1,single_R@1,mean5_R@1,crossmax_R@1,single_mean,crossmax_mean,single_regressions,single_rescues,crossmax_regressions,crossmax_rescues
0-30,575,1.0,0.9130434782608696,0.8869565217391304,0.9008695652173913,0.8111479145029317,0.8678915679454804,50,0,57,0
30-60,22,1.0,0.8636363636363636,0.7727272727272727,0.7272727272727273,0.7710493477908048,0.8214008997787129,3,0,6,0
60-90,21,0.8095238095238095,0.8333333333333334,0.8333333333333334,0.7777777777777778,0.7385171055793762,0.7964528855823335,2,0,3,0
90-120,57,1.0,0.3333333333333333,0.543859649122807,0.912280701754386,0.7432599506880108,0.7741526574419256,38,0,5,0
120-150,47,1.0,0.723404255319149,0.574468085106383,0.6595744680851063,0.7351878260044341,0.7967322785803612,13,0,16,0
150-180,1111,0.9927992799279928,0.6075607560756076,0.585958595859586,0.6111611161116112,0.7715152508497882,0.8138955744078952,432,4,425,1
