diagnostic_type,query_keyframe_id,valid_overlap_query,candidate_available,sc_rank1_label,s1,s2,s3,margin12,margin13,top5_score_mean,top5_score_std,rank1_rank2_ratio,margin_threshold,tp,fp,fn,tn,tpr,fpr,precision,recall
per_query,32.0,True,True,SC Rank-1 correct,0.889234,0.88910985,0.8882164,0.00012415648,0.0010176301,0.8883187,0.00074306224,1.0001396,,,,,,,,,
per_query,33.0,True,True,SC Rank-1 correct,0.90042305,0.893148,0.89288604,0.007275045,0.0075370073,0.894197,0.003150986,1.0081455,,,,,,,,,
per_query,34.0,True,True,SC Rank-1 correct,0.8915581,0.888151,0.8873318,0.0034071207,0.004226327,0.88813543,0.0017798326,1.0038362,,,,,,,,,
per_query,35.0,True,True,SC Rank-1 correct,0.8719053,0.8677418,0.8673096,0.0041635036,0.0045957565,0.8673495,0.0025788513,1.004798,,,,,,,,,
per_query,36.0,True,True,SC Rank-1 correct,0.89811665,0.89732105,0.897312,0.0007956028,0.0008046627,0.8972049,0.00055731455,1.0008867,,,,,,,,,
per_query,37.0,True,True,SC Rank-1 correct,0.89573354,0.8893392,0.8891471,0.0063943267,0.0065864325,0.8903896,0.002679367,1.00719,,,,,,,,,
per_query,38.0,True,True,SC Rank-1 correct,0.87664175,0.87363124,0.87157196,0.0030105114,0.0050697923,0.87236357,0.0026338908,1.003446,,,,,,,,,
per_query,39.0,True,True,SC Rank-1 correct,0.8938626,0.8899476,0.8887366,0.003915012,0.0051259995,0.8895405,0.0023925037,1.0043992,,,,,,,,,
per_query,40.0,True,True,SC Rank-1 correct,0.88135916,0.87619627,0.8713366,0.0051628947,0.010022581,0.8741118,0.004150138,1.0058924,,,,,,,,,
per_query,41.0,True,True,SC Rank-1 correct,0.8823247,0.8808519,0.8759536,0.0014727712,0.006371081,0.8776779,0.0032627373,1.001672,,,,,,,,,
per_query,42.0,True,True,SC Rank-1 correct,0.9000612,0.8977058,0.8974652,0.0023553967,0.002595961,0.89732647,0.00182459,1.0026238,,,,,,,,,
per_query,43.0,True,True,SC Rank-1 correct,0.8742999,0.8734573,0.8734439,0.00084257126,0.0008559823,0.8734771,0.00045817008,1.0009646,,,,,,,,,
per_query,44.0,True,True,SC Rank-1 correct,0.89516497,0.89473885,0.8927425,0.0004261136,0.002422452,0.89247066,0.0023040525,1.0004762,,,,,,,,,
per_query,45.0,True,True,SC Rank-1 correct,0.8702196,0.8659153,0.865311,0.00430429,0.0049085617,0.86638737,0.0019330481,1.0049708,,,,,,,,,
per_query,46.0,True,True,SC Rank-1 correct,0.8789568,0.87597823,0.87548125,0.0029785633,0.0034755468,0.87469417,0.002847095,1.0034003,,,,,,,,,
per_query,47.0,True,True,SC Rank-1 correct,0.87574565,0.87527806,0.8744184,0.00046759844,0.0013272762,0.8745639,0.0008331885,1.0005342,,,,,,,,,
per_query,48.0,True,True,SC Rank-1 correct,0.882372,0.87955165,0.8792699,0.0028203726,0.0031021237,0.8795374,0.0015126256,1.0032066,,,,,,,,,
per_query,49.0,True,True,SC Rank-1 correct,0.8775641,0.8764431,0.87566936,0.0011209846,0.0018947124,0.8757905,0.001118028,1.001279,,,,,,,,,
per_query,50.0,True,True,SC Rank-1 correct,0.87363654,0.8684759,0.8673319,0.0051606297,0.0063046217,0.867377,0.0036646326,1.0059422,,,,,,,,,
per_query,51.0,True,True,SC Rank-1 correct,0.8862185,0.88303226,0.88297653,0.003186226,0.0032419562,0.8820486,0.0027483164,1.0036082,,,,,,,,,
per_query,52.0,True,True,SC Rank-1 correct,0.8848337,0.8829826,0.87849313,0.0018510818,0.0063405633,0.88003397,0.0033134345,1.0020964,,,,,,,,,
per_query,53.0,True,True,SC Rank-1 correct,0.8780737,0.87490165,0.87335306,0.00317204,0.0047206283,0.87445104,0.0019477037,1.0036256,,,,,,,,,
per_query,54.0,True,True,SC Rank-1 correct,0.8841093,0.8786555,0.8781861,0.005453825,0.0059232116,0.8786763,0.0028998342,1.006207,,,,,,,,,
per_query,55.0,True,True,SC Rank-1 correct,0.88078165,0.8807281,0.8797772,5.352497e-05,0.0010044575,0.879748,0.00090784364,1.0000608,,,,,,,,,
per_query,56.0,True,True,SC Rank-1 correct,0.89028203,0.88672,0.8857083,0.0035620332,0.0045737624,0.8865935,0.0019340799,1.0040171,,,,,,,,,
per_query,57.0,True,True,SC Rank-1 correct,0.87603635,0.87478304,0.87458915,0.0012533069,0.0014472008,0.87433815,0.0011053025,1.0014327,,,,,,,,,
per_query,58.0,True,True,SC Rank-1 correct,0.9039338,0.8989872,0.89870775,0.004946649,0.0052260756,0.89896774,0.0026820465,1.0055025,,,,,,,,,
per_query,59.0,True,True,SC Rank-1 correct,0.8795401,0.8776199,0.8761137,0.0019201636,0.003426373,0.87700576,0.0014259852,1.002188,,,,,,,,,
per_query,60.0,True,True,SC Rank-1 correct,0.8912338,0.88677764,0.88600415,0.0044561625,0.005229652,0.88676393,0.0023465182,1.0050251,,,,,,,,,
per_query,61.0,True,True,SC Rank-1 correct,0.88481015,0.8841647,0.88355315,0.0006454587,0.0012570024,0.88328856,0.0011802703,1.00073,,,,,,,,,
per_query,62.0,True,True,SC Rank-1 correct,0.88379085,0.8810733,0.8794201,0.0027175546,0.004370749,0.8803574,0.001954405,1.0030844,,,,,,,,,
per_query,63.0,True,True,SC Rank-1 correct,0.8822468,0.88175887,0.8773365,0.00048792362,0.0049102902,0.87821066,0.0032299382,1.0005534,,,,,,,,,
per_query,64.0,True,True,SC Rank-1 correct,0.8794505,0.87544256,0.8669154,0.0040079355,0.012535095,0.87079513,0.005599675,1.0045782,,,,,,,,,
per_query,65.0,True,True,SC Rank-1 correct,0.87835896,0.87786186,0.8773896,0.00049710274,0.00096935034,0.8770218,0.0012048007,1.0005662,,,,,,,,,
per_query,66.0,True,True,SC Rank-1 correct,0.87721235,0.87701595,0.87501675,0.0001963973,0.0021955967,0.87517846,0.001698662,1.000224,,,,,,,,,
per_query,67.0,True,True,SC Rank-1 correct,0.88063556,0.88029766,0.8791601,0.00033789873,0.0014754534,0.87857306,0.0018571116,1.0003839,,,,,,,,,
per_query,68.0,True,True,SC Rank-1 correct,0.8754575,0.8747204,0.8734722,0.00073713064,0.0019853115,0.8731596,0.0018211798,1.0008427,,,,,,,,,
per_query,69.0,True,True,SC Rank-1 correct,0.8820537,0.8784543,0.875534,0.0035993457,0.0065196753,0.876915,0.002991377,1.0040973,,,,,,,,,
per_query,70.0,True,True,SC Rank-1 correct,0.8771776,0.8759393,0.87568474,0.0012382865,0.0014928579,0.87510854,0.0015789372,1.0014137,,,,,,,,,
per_query,71.0,True,True,SC Rank-1 correct,0.8839053,0.8823074,0.878183,0.0015978813,0.0057222843,0.87938374,0.003160727,1.001811,,,,,,,,,
per_query,72.0,True,True,SC Rank-1 correct,0.9026524,0.90079415,0.8997297,0.0018582344,0.0029226542,0.89997256,0.0016331458,1.0020629,,,,,,,,,
per_query,73.0,True,True,SC Rank-1 correct,0.8856412,0.8829842,0.8807975,0.0026569963,0.004843712,0.8814662,0.0025628125,1.0030091,,,,,,,,,
per_query,74.0,True,True,SC Rank-1 correct,0.88533413,0.8833928,0.87916505,0.0019413233,0.0061690807,0.8808578,0.0029493351,1.0021976,,,,,,,,,
per_query,75.0,True,True,SC Rank-1 correct,0.8761054,0.873407,0.8733823,0.0026984215,0.0027231574,0.87349784,0.0013931715,1.0030895,,,,,,,,,
per_query,76.0,True,True,SC Rank-1 correct,0.8785313,0.87848204,0.8782667,4.9233437e-05,0.00026458502,0.87824965,0.00024935088,1.000056,,,,,,,,,
per_query,77.0,True,True,SC Rank-1 correct,0.87229997,0.8708444,0.8707422,0.0014555454,0.0015577674,0.87046164,0.0011707537,1.0016714,,,,,,,,,
per_query,78.0,True,True,SC Rank-1 correct,0.88182116,0.8780922,0.87579274,0.0037289262,0.006028414,0.8772772,0.0024912013,1.0042466,,,,,,,,,
per_query,79.0,True,True,SC Rank-1 correct,0.87838626,0.877372,0.87442076,0.0010142326,0.003965497,0.87552994,0.002006812,1.001156,,,,,,,,,
per_query,80.0,True,True,SC Rank-1 correct,0.89238065,0.89199376,0.88918483,0.00038689375,0.0031958222,0.88907224,0.002928044,1.0004337,,,,,,,,,
per_query,81.0,True,True,SC Rank-1 correct,0.87637484,0.8757978,0.8755416,0.00057703257,0.00083321333,0.8753969,0.0006834922,1.0006589,,,,,,,,,
per_query,82.0,True,True,SC Rank-1 correct,0.87661844,0.87189966,0.8703364,0.0047187805,0.0062820315,0.8715428,0.002710679,1.0054121,,,,,,,,,
per_query,83.0,True,True,SC Rank-1 correct,0.8764867,0.87571996,0.8737169,0.00076675415,0.0027698278,0.873384,0.002540378,1.0008756,,,,,,,,,
per_query,84.0,True,True,SC Rank-1 correct,0.89522535,0.8946265,0.8894232,0.00059884787,0.0058021545,0.89101917,0.0032453763,1.0006694,,,,,,,,,
per_query,85.0,True,True,SC Rank-1 correct,0.86712384,0.8669791,0.86475694,0.00014472008,0.0023669004,0.86529905,0.001490032,1.0001669,,,,,,,,,
per_query,86.0,True,True,SC Rank-1 correct,0.8759263,0.8758692,0.87584734,5.710125e-05,7.8976154e-05,0.8754517,0.000666496,1.0000652,,,,,,,,,
per_query,87.0,True,True,SC Rank-1 correct,0.8964734,0.89235145,0.89137655,0.004121959,0.005096853,0.8925149,0.0020267875,1.0046192,,,,,,,,,
per_query,88.0,True,True,SC Rank-1 correct,0.8932734,0.892136,0.8905981,0.0011374354,0.0026752949,0.8910371,0.0014739142,1.001275,,,,,,,,,
per_query,89.0,True,True,SC Rank-1 correct,0.8808376,0.879662,0.8783817,0.001175642,0.0024558902,0.87822354,0.0018874462,1.0013365,,,,,,,,,
per_query,90.0,True,True,SC Rank-1 correct,0.8640318,0.8625489,0.86231536,0.001482904,0.001716435,0.86218166,0.0011287562,1.0017192,,,,,,,,,
per_query,91.0,True,True,SC Rank-1 correct,0.88787436,0.8866952,0.8849428,0.0011791587,0.0029315352,0.8856454,0.0014312601,1.0013298,,,,,,,,,
per_query,92.0,True,True,SC Rank-1 correct,0.8764878,0.8741181,0.8735202,0.0023697019,0.002967596,0.874132,0.0012197485,1.0027109,,,,,,,,,
per_query,93.0,True,True,SC Rank-1 correct,0.87937725,0.8793627,0.8783938,1.4543533e-05,0.000983417,0.87824136,0.0010488415,1.0000166,,,,,,,,,
per_query,94.0,True,True,SC Rank-1 correct,0.8764412,0.8715692,0.8697317,0.0048719645,0.0067094564,0.8713865,0.0026359658,1.0055898,,,,,,,,,
per_query,95.0,True,True,SC Rank-1 correct,0.8870349,0.8837948,0.87993747,0.0032401085,0.007097423,0.8820094,0.0029656594,1.0036662,,,,,,,,,
per_query,96.0,True,True,SC Rank-1 correct,0.87525636,0.87219363,0.86666346,0.003062725,0.008592904,0.86885536,0.004135472,1.0035115,,,,,,,,,
