policy_id,visual_method,visual_invocation_rate,SC_exhaustive_ms,model_A_added_visual_compute_ms_query,model_A_estimated_serial_latency_ms_query,model_B_estimated_parallel_latency_ms_query,model_B_visual_compute_utilization,crossmax_trigger_cost_cached_ms,crossmax_trigger_cost_lazy_ms
P0_SC_only,none,0.0,155.88489530072547,0.0,155.88489530072547,155.88489530072547,0.0,0.0,0.0
P1_Single RGB_scq0.01,Single RGB,0.01,155.88489530072547,0.348106215968146,156.23300151669363,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P3_Single RGB_scq0.01_v30,Single RGB,0.0065,155.88489530072547,0.22626904037929488,156.11116434110477,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P3_Single RGB_scq0.01_v60,Single RGB,0.0065,155.88489530072547,0.22626904037929488,156.11116434110477,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P3_Single RGB_scq0.01_v90,Single RGB,0.0065,155.88489530072547,0.22626904037929488,156.11116434110477,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P3_Single RGB_scq0.01_v120,Single RGB,0.0065,155.88489530072547,0.22626904037929488,156.11116434110477,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P3_Single RGB_scq0.01_v180,Single RGB,0.01,155.88489530072547,0.348106215968146,156.23300151669363,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P2_Single RGB_scq0.01_vq0.50_d0.02,Single RGB,0.01,155.88489530072547,0.348106215968146,156.23300151669363,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P4_Single RGB_scq0.01_vq0.50_d0.02_v30,Single RGB,0.0065,155.88489530072547,0.22626904037929488,156.11116434110477,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P4_Single RGB_scq0.01_vq0.50_d0.02_v60,Single RGB,0.0065,155.88489530072547,0.22626904037929488,156.11116434110477,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P4_Single RGB_scq0.01_vq0.50_d0.02_v90,Single RGB,0.0065,155.88489530072547,0.22626904037929488,156.11116434110477,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P4_Single RGB_scq0.01_vq0.50_d0.02_v120,Single RGB,0.0065,155.88489530072547,0.22626904037929488,156.11116434110477,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P4_Single RGB_scq0.01_vq0.50_d0.02_v180,Single RGB,0.01,155.88489530072547,0.348106215968146,156.23300151669363,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P2_Single RGB_scq0.01_vq0.50_d0.05,Single RGB,0.01,155.88489530072547,0.348106215968146,156.23300151669363,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P4_Single RGB_scq0.01_vq0.50_d0.05_v30,Single RGB,0.0065,155.88489530072547,0.22626904037929488,156.11116434110477,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P4_Single RGB_scq0.01_vq0.50_d0.05_v60,Single RGB,0.0065,155.88489530072547,0.22626904037929488,156.11116434110477,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P4_Single RGB_scq0.01_vq0.50_d0.05_v90,Single RGB,0.0065,155.88489530072547,0.22626904037929488,156.11116434110477,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P4_Single RGB_scq0.01_vq0.50_d0.05_v120,Single RGB,0.0065,155.88489530072547,0.22626904037929488,156.11116434110477,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P4_Single RGB_scq0.01_vq0.50_d0.05_v180,Single RGB,0.01,155.88489530072547,0.348106215968146,156.23300151669363,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P2_Single RGB_scq0.01_vq0.50_d0.10,Single RGB,0.01,155.88489530072547,0.348106215968146,156.23300151669363,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P4_Single RGB_scq0.01_vq0.50_d0.10_v30,Single RGB,0.0065,155.88489530072547,0.22626904037929488,156.11116434110477,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P4_Single RGB_scq0.01_vq0.50_d0.10_v60,Single RGB,0.0065,155.88489530072547,0.22626904037929488,156.11116434110477,155.8990522355889,1.0,34.8106215968146,34.8106215968146
P4_Single RGB_scq0.01_vq0.50_d0.10_v90,Single RGB,0.0065,155.88489530072547,0.22626904037929488,156.11116434110477,155.8990522355889,1.0,34.8106215968146,34.8106215968146
