row_type,query_keyframe_id,valid_overlap_query,sc_rank1_correct,best_shift,raw_shift_deg,sc_yaw_proxy_deg,gt_heading_deg,absolute_error_deg,cohort,count,mae_deg,median_ae_deg,p90_ae_deg,pearson,spearman,proxy_gate_pass
per_query,52.0,True,True,0.0,0.0,0.0,0.004947818766197543,0.004947818766197543,,,,,,,,
per_query,53.0,True,True,0.0,0.0,0.0,0.007169215722058198,0.007169215722058198,,,,,,,,
per_query,54.0,True,True,0.0,0.0,0.0,0.0017151764174343498,0.0017151764174343498,,,,,,,,
per_query,55.0,True,True,0.0,0.0,0.0,0.0035178488029430355,0.0035178488029430355,,,,,,,,
per_query,56.0,True,True,0.0,0.0,0.0,0.004538468061070944,0.004538468061070944,,,,,,,,
per_query,57.0,True,True,0.0,0.0,0.0,0.00420022001731013,0.00420022001731013,,,,,,,,
per_query,58.0,True,True,0.0,0.0,0.0,0.002023928089187166,0.002023928089187166,,,,,,,,
per_query,59.0,True,True,0.0,0.0,0.0,2.15281822875113e-05,2.15281822875113e-05,,,,,,,,
per_query,60.0,True,True,0.0,0.0,0.0,0.0030634996753917676,0.0030634996753917676,,,,,,,,
per_query,61.0,True,True,0.0,0.0,0.0,0.006203311827107427,0.006203311827107427,,,,,,,,
per_query,62.0,True,True,0.0,0.0,0.0,0.004700916759389884,0.004700916759389884,,,,,,,,
per_query,63.0,True,True,0.0,0.0,0.0,0.006101493821603299,0.006101493821603299,,,,,,,,
per_query,64.0,True,True,0.0,0.0,0.0,0.0030180646755297857,0.0030180646755297857,,,,,,,,
per_query,65.0,True,True,0.0,0.0,0.0,0.0017991647860924331,0.0017991647860924331,,,,,,,,
per_query,66.0,True,True,0.0,0.0,0.0,0.011107909302182861,0.011107909302182861,,,,,,,,
per_query,67.0,True,True,0.0,0.0,0.0,0.0005276707678945058,0.0005276707678945058,,,,,,,,
per_query,68.0,True,True,0.0,0.0,0.0,0.010323673303673786,0.010323673303673786,,,,,,,,
per_query,69.0,True,True,0.0,0.0,0.0,0.0097983366222536,0.0097983366222536,,,,,,,,
per_query,70.0,True,True,0.0,0.0,0.0,0.002783838986374576,0.002783838986374576,,,,,,,,
per_query,71.0,True,True,0.0,0.0,0.0,0.014976122615735221,0.014976122615735221,,,,,,,,
