direction,robot3_descriptor_build_s,robot3_descriptor_mean_ms,descriptor_bytes_per_frame,robot3_descriptor_database_bytes,valid_overlap_queries,no_overlap_queries,mrr,median_first_positive_rank,worst_first_positive_rank,retrieval_mean_ms,retrieval_median_ms,retrieval_p95_ms,retrieval_total_s
robot1_to_robot3,9.738531933980994,2.3297923287035873,4800.0,20064000.0,1833,167,0.9946822900818982,1.0,467,155.88489530072547,155.46229295432568,162.17951673315838,311.76979060145095
robot3_to_robot1,,,,,1686,2494,0.9991385640851833,1.0,21,34.61489580072012,33.99391955463216,37.86279881605878,144.69026444701012
