query_robot,database_robot,query_keyframe_id,valid_overlap_query,positive_count,nearest_positive_distance_m,first_positive_rank,rank1_database_keyframe_id,rank1_sc_score,rank1_gt_distance_m,rank1_best_shift,rank1_is_positive,best_positive_sc_score,retrieval_time_ms,nearest_positive_database_keyframe_id,heading_difference_deg,best_positive_database_keyframe_id,score_margin,query_gt_yaw_deg,nearest_positive_yaw_deg,rank1_false_yaw_deg
robot1,robot3,305,True,4,4.654265855304922,4,2039,0.5916993618011475,223.9557434669206,59,False,0.577555239200592,153.0299308942631,265,79.53572830729397,266,0.01414412260055542,-93.72510267965042,-14.189374372356452,-153.85904679214266
robot1,robot3,1241,True,10,2.7803593766895487,3,2033,0.5650229454040527,192.72623212166798,3,False,0.5610735416412354,154.19524593744427,2981,171.73033791062426,2978,0.003949403762817383,-6.161723057933959,-177.89206096855824,177.64468097764836
robot1,robot3,1242,True,11,2.8383442495380384,15,2033,0.5761255025863647,193.04578657738858,3,False,0.555428683757782,152.23954303655773,2980,174.67687071371728,2977,0.020696818828582764,-6.052261435104872,179.27086785117785,177.64468097764836
robot1,robot3,1243,True,10,2.860265615109609,2,3056,0.5882250070571899,53.473022010115706,32,False,0.5666195154190063,150.78525699209422,2980,174.67880448160201,2977,0.021605491638183594,-6.050327667220144,179.27086785117785,177.96189884277857
robot1,robot3,1244,True,10,2.889785068976349,2,3056,0.5712571740150452,53.761177874303,32,False,0.5701634287834167,154.24421802163124,2979,176.0045720707153,2977,0.001093745231628418,-4.531184622391402,179.46424330689325,177.96189884277857
robot1,robot3,1276,True,13,1.3804524833684297,5,3042,0.6053236722946167,67.39543093510866,28,False,0.5879531502723694,152.6511909905821,2953,174.83528689077608,2953,0.017370522022247314,-0.3083701092100344,174.52691678156603,173.78402209260244
robot1,robot3,1277,True,13,1.3637843136748475,9,3043,0.5996468663215637,68.63197324411894,28,False,0.5745757818222046,155.96722101327032,2952,176.3227744442737,2949,0.02507108449935913,-0.6240093625375671,175.69876508173613,173.77812606265243
robot1,robot3,1279,True,12,1.2621473577412827,7,3042,0.6025431156158447,69.30184341597467,28,False,0.5814822316169739,155.8732589473948,2950,179.1445510003178,2949,0.02106088399887085,-1.7926753399705904,177.3518756603472,173.78402209260244
robot1,robot3,1280,True,13,1.314526290407783,11,3043,0.6088067889213562,70.46306016832709,28,False,0.5853304862976074,155.17368505243212,2949,179.02813812846614,2949,0.02347630262374878,-2.473606273386571,178.49825559814732,173.77812606265243
robot1,robot3,1847,True,7,4.138408933958821,21,3890,0.43015390634536743,6.511941435655127,11,False,0.3702876567840576,154.8317999113351,3884,74.24498435871462,3885,0.059866249561309814,102.41823958786816,176.66322394658278,174.59658268634934
robot1,robot3,1848,True,4,4.714630710468842,125,195,0.44964849948883057,253.08844753551008,23,False,0.3629683256149292,155.2077910164371,3884,75.76908360535744,3885,0.08668017387390137,100.89414034122534,176.66322394658278,1.3133423394106034
robot1,robot3,1849,True,1,4.99423520616863,467,190,0.4378114640712738,250.58917762301348,25,False,0.31991422176361084,156.00180299952626,3884,76.44525336184562,3884,0.11789724230766296,100.21797058473716,176.66322394658278,4.422440670620789
