policy,max_nfev,converged,objective_final,joint_ATE_RMSE_m_offline_only
TOP3_SANITIZED,200,False,14806.810671971252,21.00552035946449
RANK1_SANITIZED,200,False,13884.658702094424,21.863028860651564
