condition,median_m,p90_m,p95_m,points_robot1,points_robot3
SINGLE_LOOP,9.556280440840705,118.02318213961433,142.64037766922792,286064,681537
TOP3_SANITIZED,2.961597887356467,91.98833039547308,115.28320357918906,302192,698998
RANK1_SANITIZED,2.875138775468194,97.62518376236733,121.94484277538436,298468,698224
