condition,scope,ATE_RMSE_m,RPE_keyframe_interval,RPE_translation_RMSE_m,RPE_rotation_RMSE_deg
SINGLE_LOOP,joint,28.595155502604786,10,33.42046804231189,8.741768643302402
SINGLE_LOOP,robot1,33.533177769494095,10,33.42046804231189,8.741768643302402
SINGLE_LOOP,robot3,25.901600752047408,10,33.42046804231189,8.741768643302402
TOP3_SANITIZED,joint,27.608547281258286,10,28.538229553170737,11.484175344909858
TOP3_SANITIZED,robot1,26.74376830974909,10,28.538229553170737,11.484175344909858
TOP3_SANITIZED,robot3,28.01287618329951,10,28.538229553170737,11.484175344909858
RANK1_SANITIZED,joint,29.028868059530527,10,28.792570059293123,12.622310946695737
RANK1_SANITIZED,robot1,26.305375651010113,10,28.792570059293123,12.622310946695737
RANK1_SANITIZED,robot3,30.24535648321901,10,28.792570059293123,12.622310946695737
