policy,max_nfev_budget,success,solver_status,solver_message,nfev,converged,iterations,objective_initial,objective_final,objective_reduction_absolute,objective_reduction_percent,runtime_s,robust,translation_median_m,translation_p95_m,rotation_median_deg,rotation_p95_deg,weight_lt_0_1,weight_lt_0_25,weight_lt_0_5,minimum_weight
TOP3_SANITIZED,25,False,NOT_CONVERGED_AT_FROZEN_CAP,scipy least_squares status is represented by success flag,25,False,25,1405490.3613232677,4621.81353287407,1400868.5477903937,99.67116006910767,972.8815181255341,True,0.16792101318845856,183.4264794956004,2.1636178476541206,35.43216007385303,13,18,23,0.0033448212189473117
TOP3_SANITIZED,50,False,NOT_CONVERGED_AT_FROZEN_CAP,scipy least_squares status is represented by success flag,50,False,50,1405490.3613232677,6045.7053723940135,1399444.6559508736,99.56985081230282,1910.210268497467,True,0.11847462204090914,14.686997351565005,1.9061308920798685,40.42319366227559,14,19,24,0.0036827143452153425
TOP3_SANITIZED,100,False,NOT_CONVERGED_AT_FROZEN_CAP,scipy least_squares status is represented by success flag,100,False,100,1405490.3613232677,6139.050804617244,1399351.3105186503,99.56320932725306,3581.661947965622,True,0.1031555807899809,9.320926813303256,1.7741864070017266,33.410284065341614,6,19,23,0.003967682431700166
TOP3_SANITIZED,200,False,NOT_CONVERGED_AT_FROZEN_CAP,scipy least_squares status is represented by success flag,200,False,200,1405490.3613232677,5991.710855316629,1399498.650467951,99.57369249763651,6691.97403216362,True,0.10263543769453408,8.307853358887145,1.6672138890868424,31.682816544970976,6,17,22,0.003894723248459488
RANK1_SANITIZED,25,False,NOT_CONVERGED_AT_FROZEN_CAP,scipy least_squares status is represented by success flag,25,False,25,1163613.9582116662,3784.0928117363474,1159829.86539993,99.67479826234192,979.9691257476807,True,0.16614502634429149,194.98778718007276,2.6589792843977498,51.07675210434345,11,16,21,0.0033515242538409034
RANK1_SANITIZED,50,False,NOT_CONVERGED_AT_FROZEN_CAP,scipy least_squares status is represented by success flag,50,False,50,1163613.9582116662,4722.951340959393,1158891.0068707068,99.59411355393003,1988.9742991924286,True,0.11851593080658954,21.407463804543806,2.082964402293114,37.111489224240785,12,17,22,0.0036421376271837886
RANK1_SANITIZED,100,False,NOT_CONVERGED_AT_FROZEN_CAP,scipy least_squares status is represented by success flag,100,False,100,1163613.9582116662,4718.901676921346,1158895.0565347448,99.5944615786344,3716.6655781269073,True,0.10362928395989474,10.380633356922866,1.9670582968740722,42.9531917070577,7,14,20,0.004018256650021004
RANK1_SANITIZED,200,False,NOT_CONVERGED_AT_FROZEN_CAP,scipy least_squares status is represented by success flag,200,False,200,1163613.9582116662,4704.988364249391,1158908.9698474167,99.59565727696491,6786.461806774139,True,0.09860263350625875,8.804308255336757,1.6760597700408528,27.39313610670448,6,11,18,0.0038152546845429776
