loop_id,query_keyframe_id,candidate_keyframe_id,SC_rank,SC_score,GICP_quality,translation_before_m,rotation_before_deg,translation_after_m,rotation_after_deg,robust_weight
0,5,92,1,0.8891443014144897,0.6596468898032009,9.743685839155464,91.07886677021546,3.960714940049584,19.784960307429653,1.0
1,8,119,1,0.8966119289398193,0.678860431816943,9.634861590019211,91.14405972949723,0.3529211493810345,3.39258581118365,1.0
2,9,87,1,0.9081543684005736,0.6480154914562747,9.811131035725673,91.12427080593348,0.9621123096726082,2.9790319474361997,1.0
3,11,119,1,0.9039719104766846,0.6676052886300643,9.622302024445247,91.1335700388754,0.456216615201463,0.9560287170235677,1.0
4,12,58,1,0.9114951491355896,0.6489673282012557,86.02445966066473,89.73682942212449,66.20553306708223,64.05070671563637,1.0
5,14,89,1,0.8910194635391235,0.6341176054595523,9.777928808041437,91.03805485462392,0.555021687970409,0.4374328272553493,1.0
6,17,117,1,0.8773153424263,0.6658264012603254,9.568297390936966,91.04442465481516,0.10763260427946213,0.4377947072536293,1.0
7,18,87,1,0.873931348323822,0.6229854731873502,9.806961492795248,91.04434147792139,0.3105896952762142,0.48216910182583556,1.0
8,20,117,1,0.8800109028816223,0.6492324084827674,9.623626426668409,90.99235066035872,0.18138449818065225,0.25627354660365337,1.0
9,23,89,2,0.8869666457176208,0.6099224292720461,9.773931902933,90.9706548358438,0.44622514497012755,1.1989453349131858,1.0
10,26,43,1,0.8912750482559204,0.6306087462444309,348.2052581293656,121.52581944403597,183.82697952204245,37.04460930998529,1.0
11,31,23,2,0.8743505477905273,0.6247108924917398,9.071166357682026,37.90138830687375,16.169906404778185,17.987871912525417,1.0
12,32,2,2,0.8891098499298096,0.618907098049625,13.27164640021603,37.548490687042,0.326583803482084,1.197659244880233,1.0
13,33,43,1,0.9004230499267578,0.624642053898248,348.1698322511601,121.42829113175785,184.82098787357165,39.176607615382736,1.0
14,34,87,1,0.8915581107139587,0.6149644896196773,9.822106195811472,90.87015519773045,0.8491760780618285,4.741774529852731,1.0
15,35,94,2,0.8677418231964111,0.6441339464413606,9.718994925248621,90.73753038800155,0.34022653490115357,0.5264400012860716,1.0
16,36,4,1,0.8981166481971741,0.6335852095418508,12.458731798292725,37.568844126889324,0.7699662816632702,2.5120865414932965,1.0
17,37,43,1,0.8957335352897644,0.6236827896085138,348.18150146852804,121.3969067353871,183.48200337755554,38.77606654963002,1.0
18,45,86,1,0.8702195882797241,0.6248869491591849,9.821380293764744,90.71229477911321,0.09371089030369394,0.11396133073410711,1.0
19,47,76,1,0.8757456541061401,0.6223970227180612,9.863061128373324,90.7217013388524,0.07014615985578267,0.8780688100882325,1.0
20,49,87,1,0.8775640726089478,0.619335498847027,9.808620215004318,90.66142937583908,0.4218723518385839,0.6850506014104526,1.0
21,55,76,1,0.8807816505432129,0.614050889039955,9.864231001905,90.62430610831255,2.8089534814209256,6.955407802151475,1.0
