condition,stage10_joint_ATE_m,stage10_1_joint_ATE_m,stage10_solver_converged,stage10_1_solver_converged,stage10_map_nn_median_m,stage10_1_map_nn_median_m,stage10_map_nn_p95_m,stage10_1_map_nn_p95_m,stage10_initial_objective_recording,stage10_1_initial_objective,stage10_1_final_objective
SINGLE_LOOP_ALIGNMENT,68.43217732445207,28.595155502604783,,,11.960026889455465,9.556280440840704,85.59465474768903,142.64037766922792,,,
NON_ROBUST_PGO,46.2014639071848,20.65863842962372,False,False,,,,,buggy_postsolve,1405490.3613232677,218906.88914475957
ROBUST_PGO,75.29757744028014,23.647863232666005,False,False,2.5786522591802203,2.9197333998347084,55.67587416035458,127.07101502968776,buggy_postsolve,1405490.3613232677,4621.81353287407
