condition,converged,iterations,objective_initial,objective_final,objective_reduction_absolute,objective_reduction_percent,runtime_s,robust
SINGLE_LOOP_ALIGNMENT,True,0,,,,,0.0,
NON_ROBUST_PGO,False,25,1405490.3613232677,218906.88914475954,1186583.472178508,84.42487439482267,227.75364756584167,False
ROBUST_PGO,False,25,1405490.3613232677,4621.81353287407,1400868.5477903937,99.67116006910767,976.9864251613617,True
