scope,ATE_RMSE_m,condition
joint,28.595155502604786,SINGLE_LOOP_ALIGNMENT
robot1,33.533177769494095,SINGLE_LOOP_ALIGNMENT
robot3,25.901600752047408,SINGLE_LOOP_ALIGNMENT
joint,20.658638429623718,NON_ROBUST_PGO
robot1,20.849667050068998,NON_ROBUST_PGO
robot3,20.566609603964952,NON_ROBUST_PGO
joint,23.647863232666005,ROBUST_PGO
robot1,26.422454491415536,ROBUST_PGO
robot3,22.197979715975364,ROBUST_PGO
