condition,median_m,p90_m,p95_m,points_robot1,points_robot3
SINGLE_LOOP_ALIGNMENT,9.556280440840705,118.02318213961433,142.64037766922792,286064,681537
ROBUST_PGO,2.9197333998347084,102.48883668925275,127.07101502968777,299219,690726
