loop_id,query_keyframe_id,candidate_keyframe_id,SC_rank,SC_score,GICP_quality,translation_before_m,rotation_before_deg,translation_after_m,rotation_after_deg,robust_weight
23,61,78,1,0.8848101496696472,0.6196591835790421,407.54409341834025,37.016862736267356,402.0719628856143,29.12919118949411,1.0
32,91,43,1,0.8878743648529053,0.6267376802001043,348.4356513736613,68.21775860811965,185.33856386133942,34.34251412952159,1.0
13,33,43,1,0.9004230499267578,0.624642053898248,348.1698322511601,121.42829113175785,184.82098787357165,39.176607615382736,1.0
37,97,43,2,0.8708986639976501,0.6094261437513746,348.4679603419086,68.21989350540488,184.0292043406931,37.01750632613227,1.0
10,26,43,1,0.8912750482559204,0.6306087462444309,348.2052581293656,121.52581944403597,183.82697952204245,37.04460930998529,1.0
